Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 02:13:04+00:00,1477100529826344962,"Giving away 1 $Sol ($175 USD) to one lucky person that retweets &amp; follows me

If you tag a friend and win they'll also get 1 $Sol 🥰",Ravers,@Paliza ❤️,1245,1382,170531
2022-01-01 01:54:11+00:00,1477095777063350280,"Which #crypto are you buying first in 2022?

$BTC
$ETH 
$BNB 
$VET
$KASTA
$XRP
$AVAX
$ADA
$MATIC
$SOL 
$DOGE
$TEL
$XLM
$EGLD 
$HERO
$SAND
$MANA
$EOS
$DOT
$CRO
$RISE 
$SHIB 
$FLOKI
$KISHU 
#BabyDoge
#Dogelon
#Saitama 
#SHINJA

👇🏻👇🏻👇🏻",TheMoonCarl,The Moon,1046,224,1163752
2022-01-01 00:46:41+00:00,1477078793810501641,"FOLLOW @TitanXBT RT AND LIKE THIS TWEET FOR THE CHANCE TO WIN 1 $SOL, I WILL PICK THE WINNER TOMORROW WHEN I WAKE UP FROM THE HANGOVER IM ABOUT TO GET. LFFGGGGGGGG KINGS.",TitanXBT,,333,249,43829
2022-01-02 23:26:41+00:00,1477783434554753025,"10,000 $GHOST to giveaway again!

⚛️Like &amp; Retweet this
⚛️Follow @ProtonGhost_NFT &amp; @ProtonimusPrime
⚛️Like both of their pinned tweets

Ends in 18 hours

See replies to decide how the 10k
$GHOST will be split

$XPR #Proton $vra $sol #btc #bnb #CryptoGiveaways $mtl #ProtonNFTs https://t.co/r03yBAxzlm",ProtonRoad,Solanaville,201,160,8408
2022-01-02 22:31:18+00:00,1477769498392510469,I’ve got a feeling $SOL NFT’s are going to have a big year👀,TraderKoz,The Moon,855,100,106772
2022-01-02 22:06:07+00:00,1477763158068670466,"Fantom is faster than $BSC ✅
Cheaper than $AVAX ✅
Better community than $SOL ✅
More developer interest than $LUNA ✅
Much more scalable than $ETH ✅

You are underexposed anon. Train is leaving the station. $FTM will be $10 by mid February don't say I didn't tell you so🌹",FantomPhantom,Whales,742,144,901
2022-01-02 21:58:02+00:00,1477761126209368065,Giving away 1 $SOL. Just RT and Follow. Winner in 24 hours. Happy New Year ♥️,IcedKnife,The Metaverse,1408,1703,260025
2022-01-02 21:50:53+00:00,1477759327888883712,"Hello and welcome to the Microverse!🔬

We’re giving away 1 $SOL ($175!) and 1 @Amoebafriends WL pioneer spot to 1 person in 24hr!

1️⃣ Follow @Amoebafriends
2️⃣ ❤️, RT, TAG 2 friends
3️⃣ Join discord https://t.co/1scav47qVm &amp; say hi!

#Solana #SolanaNFT #NFTGiveaway #SolGiveaway https://t.co/9dJQKzNEXU",AmoebaFriends,The Microverse,159,143,1487
2022-01-02 19:44:16+00:00,1477727460204683271,"European Roulette is LIVE 🎰 

♾ https://t.co/huPtx2r3y6 
✅ Red, Black, &amp; Green BETS 
💬 Live chat is PUMPING 
💰 500 $SOL volume in &lt;2 hours
🤝 Adding to Hippo rev share 🔜 

CC: @BobbyLarry888 for the art ! 

ROLL BABY ROLL 🔥 https://t.co/TxItksJNOs",HighRollerHC,"Solana Beach, CA",261,160,13542
2022-01-02 19:32:10+00:00,1477724417157480451,"Congrats to my frens @OwlSocietyNFT for some explosive growth.

Floor is currently 2.35 SOL 410$

Lets cheers them w/ a #NFTGiveaway of 1 Superhero Owl NFT.  

To enter:
🎁Follow  @OwlSocietyNFT @CryptoAnglio 
🎁 Like RT
🎁Tag 3 frens

Ends in 48hrs. $SOL #SolanaNFTs Sponsored https://t.co/og53jdKpOd",CryptoAnglio,"London, England",769,691,135589
