Date,ID,Tweet,Username,Location,Favorites,Retweets,Followers
2022-01-01 15:45:58+00:00,1477305104080330753,"✨✨ NFT ART THREAD ✨✨

✦DROP YOUR BEST NFT
✦IMAGE, GIF, VIDEO
✦NO LINK, NO TEXT
✦PRICE IN $ETH or $NEAR or $SOS
✦ENGAGE TO INCREASE EXPOSURE
✦RT &amp; FOLLOW FOR A FEATURE

ᴛʜɪs ɪs ꜰᴏʀ ʙᴏᴛʜ ᴀʀᴛɪsᴛ ᴀɴᴅ ᴄᴏʟʟᴇᴄᴛᴏʀs
https://t.co/QAXvd97GV3
https://t.co/SOe7V5G02g",NFTBUZZ,𝐋𝐨𝐬 𝐌𝐞𝐭𝐚𝐯𝐞𝐫𝐬𝐞,269,90,40980
2022-01-01 13:45:45+00:00,1477274852344139780,"1 person who retweets and follows me will win a #WeedStrainsNFT worth 10 $ETH 

Happy new year 🎉🎉🎉 https://t.co/XLBitM7bPd",pixelpartynft,LuckyBog 😎 TheMetaDealer,1029,1226,23271
2022-01-01 13:21:59+00:00,1477268868867534858,"LOOKING FOR #nftcollectors COMMUNITY THREAD

- DROP 1 PIECE ONLY
- NO LINKS, NO TEXT
- IMAGE, GIF, VIDEO
- PRICE WITH $ETH or $XTZ SYMBOL 
- ENGAGE TO INCREASE EXPOSURE
- RT OR QUOTE RT YOUR FAVORITES 

LET'S MAKE SOME SALES TODAY https://t.co/A0xGSigHh5",nftanothersigma,Heaven,328,91,30610
2022-01-01 13:18:09+00:00,1477267906173947908,"Hello everyone I just dropped my Artwork called ""Adiyogi"" on @withFND  please check out and share your Thoughts.❤️
.
.Price - 0.35 $ETH
.
.https://t.co/XLGSlrylXa https://t.co/slxgBdo8yJ",Fearlessproduc7,"Gujarat, India",415,153,2638
2022-01-01 11:50:44+00:00,1477245905325760512,"🎉Two new Neon DeRabbitives are now available!🐰

🪙0.012 $ETH polygon

https://t.co/0nmBi1ZId1

🔄RT, please

#NFTCommunity #ArtvisionNFT https://t.co/hewkCp6CIK",ArtvisionNFT,,136,59,127781
2022-01-01 11:33:26+00:00,1477241551650791426,"Thanks to @AaronLeupp everybody who attends tonight’s event at the MetaZoo will be able to claim this awesome special edition Waifumons #NFT!

For an early chance to claim:
1️⃣ Follow @BitBears, @metazooxyz &amp; @Waifumons!
2️⃣ Like &amp; RT this Tweet!
3️⃣ Post $ETH address in comments! https://t.co/IBbyu2T9ZF",BitBears,MetaZoo International,198,174,1841
2022-01-01 10:48:26+00:00,1477230226337935362,"Drop your $ETH address

Don't ask why 🎄❄️

Follow me and RT 🏆 

#NFTGiveaway #NFTCommunity #NFTs https://t.co/udmlYSQe6w",pandaanft,,418,432,67635
2022-01-01 10:40:23+00:00,1477228201814499332,"I just listed “bad pepes” by the talented artist @David_Mrz_NFT 

The best gift I received in 2021
price: 1 $ETH
 
@jaggedsoft 

https://t.co/pSTZpOkorq https://t.co/emFXVcceoZ",farnaz_dashti,,195,69,13733
2022-01-01 10:26:06+00:00,1477224605790130178,"I'm fucking stoned, I'm giving x10 #nft $250.000 $eth to who buy any #WeedStrainsNFT, for first 10 persons.
https://t.co/j1PYWnqIcB
RT and like",pixelpartynft,LuckyBog 😎 TheMetaDealer,323,252,23271
2022-01-01 10:05:24+00:00,1477219398897262603,"Happy 2022. 

Accumulation before the breakout. 

$BTC $ETH https://t.co/IZPgM5Pd4x",IamCryptoWolf,,1573,152,106200
